Source;Target;Year
GOMES Elisa Mariana de Medeiros Nobrega;AMADO Janaína ;2007
GOMES Veronica de Jesus;AMADO Janaína ;2019
HIRATA Gabriel Tadashi;AMADO Janaína ;2017
LORENZONI Andre Luis;AMADO Janaína ;2014
MALINSKI Andre Americano;AMADO Janaína ;2019
MARTINS Carla Cristina Siqueira;AMADO Janaína ;2020
MEDEIROS Lucas;AMADO Janaína ;2022
MEDEIROS Tiago Vidal;AMADO Janaína ;2020
MONTEIRO Johnnatan David Bia;AMADO Janaína ;2017
NOGUEIRA Nadia Cristina;AMADO Janaína ;2005
NUNES Anderson Cruz;AMADO Janaína ;2017
OCANHA Rafael Freitas;AMADO Janaína ;2014
OLIVEIRA JR Alcidesio de;AMADO Janaína ;2012
PAIVA Ludmila Soares;AMADO Janaína ;2022
ROSSELLI Gabriela Brum;AMADO Janaína ;2018
SANTOS Rafael Franca Goncalves dos;AMADO Janaína ;2018
SILVA Aline Nawara Cintra;AMADO Janaína ;2022
SILVA Camila Diane;AMADO Janaína ;2015
SILVA Filipe Noe da;AMADO Janaína ;2016
SILVA Naylla Oliveira da;AMADO Janaína ;2019
SILVEIRA NETO Adilio Luiz da;AMADO Janaína ;2014
SOARES Bruno Cesar Brulon;AMADO Janaína ;2019
SOLEDADE Alisson Cruz;AMADO Janaína ;2022
SOUSA NETO Miguel Rodrigues de;AMADO Janaína ;2011
VIEIRA Kyara Maria de Almeida;AMADO Janaína ;2014
GAMA Elizabeth Castelano;AMADO Jorge ;2012
PERALTA Antonio Carlos Lopes;AMADO Jorge ;2000
NASCIMENTO Renan de Souza;AMANCIO I M S ;2022
SILVA Tiago Vidal da;AMANCIO I M S ;2022
MAIA Renata Santos;AMANCIO Izzie Madalena Santos;2020
ROCHA Cassio Bruno de Araujo;AMANCIO Izzie Madalena Santos;2021
DONINI Barbara Brognoli;AMANCIO Tunico ;2021
QUEIROZ Marcos Tadeu Pereira de;AMANCIO Tunico ;2019
AZEVEDO Gleice LInhares de;AMANTINO Márcia ;2022
AZEVEDO Rafaela Costa de;AMANTINO Márcia ;2020
CARVALHO Marilia Miranda Alves;AMANTINO Márcia ;2020
FLAUAUS Vinicius Melo;AMANTINO Márcia ;2018
MAIOR JR Paulo Roberto Souto;AMANTINO Márcia ;2019
MARIUSSO Victor Hugo da Silva Gomes;AMANTINO Márcia ;2015
MELO Kelyel Fortes de Resende;AMANTINO Márcia ;2020
NUNES Anderson Cruz;AMANTINO Márcia ;2017
REIS Gabbiana Clamer Fonseca Falavigna dos;AMANTINO Márcia ;2022
ROCHA Cassio Bruno de Araujo;AMANTINO Márcia ;2014
ROCHA Cassio Bruno de Araujo;AMANTINO Márcia ;2021
SANTOS Raian Souza;AMANTINO Márcia ;2020
SILVA Claudielle Pavão da;AMANTINO Márcia ;2016
SILVA Fabio Ronaldo da;AMANTINO Márcia ;2017
SILVA Natanael de Freitas;AMANTINO Márcia ;2017
SILVA Natanael de Freitas;AMANTINO Márcia ;2022
SOARES Bruno Cesar Brulon;AMANTINO Márcia ;2019
LOPES Fernando Jose;AMARAL Ana Luísa;2019
ROCHA Cassio Bruno de Araujo;AMARAL Ana Luísa;2014
ROCHA Cassio Bruno de Araujo;AMARAL Ana Luísa;2021
SILVA Gustavo Henrique Ramos;AMARAL Ana Luísa;2018
GOMES Elisa Mariana de Medeiros Nobrega;AMARAL Maria Adelaide ;2007
VIEIRA Kyara Maria de Almeida;AMARAL Maria Adelaide ;2014
MARANHAO Du Flor Meinberg;AMARAL Marília dos Santos;2015
PAIVA Ludmila Soares;AMARAL Marília dos Santos;2022
SOUZA Paulo Vitor Guedes de;AMARAL Marília dos Santos;2022
VERAS Elias Ferreira;AMARAL Marília dos Santos;2015
CARVALHO Marilia Miranda Alves;AMARAL Muriel Emídio Pessoa;2020
COSTA Geovane Batista da;AMARAL Muriel Emídio Pessoa;2019
MAIOR JR Paulo Roberto Souto;AMARAL Muriel Emídio Pessoa;2015
PEREIRA Joao Lenon Siqueira;AMARAL Muriel Emídio Pessoa;2020
REIS Gabbiana Clamer Fonseca Falavigna dos;AMARAL Muriel Emídio Pessoa;2022
SOBRAL Thasio Fernandes;AMARAL Muriel Emídio Pessoa;2019
GAMA Elizabeth Castelano;AMARAL Rita;2012
PERALTA Antonio Carlos Lopes;AMARAL Rita;2000
FERRAZ Maria Cruz;AMATO Gabriel ;2021
KUMPERA Julia Aleksandra Martucci;AMATO Gabriel ;2021
LIMA Michele Pires;AMATO Gabriel ;2021
SANTOS Raian Souza;AMATO Gabriel ;2020
QUEIROZ Igor Henrique Lopes de;AMORIM Graziele Regina;2014
SILVEIRA NETO Adilio Luiz da;AMORIM Graziele Regina;2014
GAMA Elizabeth Castelano;ANDERSON Benedict;2012
HENRIQUES Adolfo Veiller Souza;ANDERSON Benedict;2021
MAIOR JR Paulo Roberto Souto;ANDERSON Benedict;2019
RIBAS Jorge Luiz Teixeira;ANDERSON Benedict;2018
SOARES Bruno Cesar Brulon;ANDERSON Benedict;2019
KOREN Jonas Christmann;ANDERSON Perry ;2019
PETERS Carlos Eduardo Marotta;ANDERSON Perry ;2010
ROCHA Cassio Bruno de Araujo;ANDERSON Perry ;2021
SILVA Filipe Noe da;ANDERSON Perry ;2016
VIANA JR Mario Martins;ANDERSON Perry ;2013
HENRIQUES Adolfo Veiller Souza;ANDRADE Augusto José;2021
RODRIGUES Rita de Cassia Colaco;ANDRADE Augusto José;2012
GONCALVES Jose Claudio Leoncio;ANDRADE Luma Nogueira de ;2018
MACHADO José Wellington de Oliveira Machado;ANDRADE Luma Nogueira de ;2021
MEDEIROS Talita Goncalves;ANDRADE Luma Nogueira de ;2015
PAIVA Ludmila Soares;ANDRADE Luma Nogueira de ;2022
SOUZA Paulo Vitor Guedes de;ANDRADE Luma Nogueira de ;2022
VASCONCELOS Osvaldo;ANDRADE Luma Nogueira de ;2022
COSTA Geovane Batista da;ANDRADE Marciano Vieira;2019
GONCALVES Alisson;ANDRADE Marciano Vieira;2022
MELO Kelyel Fortes de Resende;ANDRADE Marciano Vieira;2020
PINTO Rhanielly Pereira do Nascimento;ANDRADE Marciano Vieira;2021
SOBRAL Thasio Fernandes;ANDRADE Marciano Vieira;2019
GOMES Aline Ferreira;ANDRADE Mário de;2017
MEDEIROS Lucas;ANDRADE Mário de;2022
CANABARRO Ronald;ANDRADE Marta Mega;2015
CORDEIRO Luiz Henrique Bonifacio;ANDRADE Marta Mega;2015
LEITE Letticia Batista Rodrigues;ANDRADE Marta Mega;2009
ROMERO Sheila R;ANDRADE Marta Mega;2008
SOUSA Luana Neres de;ANDRADE Marta Mega;2008
SOUSA Luana Neres de;ANDRADE Marta Mega;2013
FREITAS Randas Gabriel Aguiar;ANGELO Vitor Amorim de;2022
SOBRAL Thasio Fernandes;ANGELO Vitor Amorim de;2019
OLIVEIRA Augusta da Silveira de;ANJOS Gabriele dos;2018
RODRIGUES Rita de Cassia Colaco;ANJOS Gabriele dos;2012
AGUIAR JR Fernando Domingos de;ANKERSMIT Franklin R ;2016
PINTO Matheus Rodrigues;ANKERSMIT Franklin R ;2015
SILVA Natanael de Freitas;ANKERSMIT Franklin R ;2022
CUEVAS Clara Eliana;ANSART Pierre;2015
SANTOS Raian Souza;ANSART Pierre;2020
LIMA Wallas Jefferson de;ANTUNES Cátia ;2021
ROSSELLI Gabriela Brum;ANTUNES Cátia ;2018
SILVA Ronaldo Manoel da;ANTUNES Cátia ;2018
AMARILLO Claudia Patricia Rivera;ANTUNES José Leopoldo Ferreira ;2012
GOUVEIA Vanessa Alves;ANTUNES José Leopoldo Ferreira ;2022
NAPOLITANO Minisa Nogueira;ANTUNES José Leopoldo Ferreira ;2005
OLIVEIRA JR Alcidesio de;ANTUNES José Leopoldo Ferreira ;2012
SILVA Redson dos Santos;ANTUNES José Leopoldo Ferreira ;2016
SILVEIRA NETO Adilio Luiz da;ANTUNES José Leopoldo Ferreira ;2014
ZAQUIEU Ana Paula Vianna;ANTUNES José Leopoldo Ferreira ;2002
GOMES Elisa Mariana de Medeiros Nobrega;ANTUNES Pedro Paulo Sammarco ;2007
MARANHAO Du Flor Meinberg;ANTUNES Pedro Paulo Sammarco ;2015
PAIVA Ludmila Soares;ANTUNES Pedro Paulo Sammarco ;2022
SANTOS Rafael Franca Goncalves dos;ANTUNES Pedro Paulo Sammarco ;2018
SOUZA Paulo Vitor Guedes de;ANTUNES Pedro Paulo Sammarco ;2022
VASCONCELOS Osvaldo;ANTUNES Pedro Paulo Sammarco ;2022
PAZ Thaís Terezinha;ANTUNES Ricardo ;2021
PEREIRA Joao Lenon Siqueira;ANTUNES Ricardo ;2020
AGUIAR Juno Nedel Mendes de;ANZALDÚA Glória ;2020
BARBOSA Camila Nadedja Teixeira;ANZALDÚA Glória ;2019
SANTOS Patricia Lessa dos;ANZALDÚA Glória ;2007
SELEM Maria Celia Orlato;ANZALDÚA Glória ;2007
COSTA Geovane Batista da;AQUINO Maria Aparecida;2019
MARTINELLI Leonardo da Silva;AQUINO Maria Aparecida;2019
OCANHA Rafael Freitas;AQUINO Maria Aparecida;2014
RAMOS Jeferson;AQUINO Maria Aparecida;2019
LIMA Michele Pires;AQUINO Tathiane Araújo ;2021
OLIVEIRA Augusta da Silveira de;AQUINO Tathiane Araújo ;2018
SOLEDADE Alisson Cruz;AQUINO Tathiane Araújo ;2022
ANDRADE Marciano Vieira;ARÁN Márcia;2015
ARAÚJO João Diogo Trindade Cordeiro ;ARÁN Márcia;2018
LORENZONI Andre Luis;ARÁN Márcia;2014
MARIUSSO Victor Hugo da Silva Gomes;ARÁN Márcia;2015
SILVA Fabio Ronaldo da;ARÁN Márcia;2010
TOLEDO Eliza Teixeira de;ARÁN Márcia;2015
CARDOSO Guilherme da Silva;ARANHA Gervásio Batista ;2022
MEDEIROS Lucas;ARANHA Gervásio Batista ;2022
SILVA Adjefferson Vieira Alves da;ARANHA Gervásio Batista ;2014
LIMA Michele Pires;ARANTES Antonio ;2021
NOGUEIRA Nadia Cristina;ARANTES Antonio ;2005
SANTOS Raian Souza;ARANTES Maria Auxiliadora;2020
SOARES Anderson da Silva;ARANTES Maria Auxiliadora;2016
GOMES Veronica de Jesus;ARAÚJO Emanuel ;2010
LIMA Wallas Jefferson de;ARAÚJO Emanuel ;2014
NASCIMENTO Cicera Maria castro do;ARAÚJO Emanuel ;2021
ROCHA Cassio Bruno de Araujo;ARAÚJO Emanuel ;2014
ROCHA Cassio Bruno de Araujo;ARAÚJO Emanuel ;2021
ARAÚJO João Diogo Trindade Cordeiro ;ARAÚJO Eronides Câmara;2018
AZEVEDO Ciro Linhares de;ARAÚJO Eronides Câmara;2015
LORENZONI Andre Luis;ARAÚJO Eronides Câmara;2014
PEREIRA Joao Lenon Siqueira;ARAÚJO Eronides Câmara;2020
VIEIRA Kyara Maria de Almeida;ARAÚJO Eronides Câmara;2014
AZEVEDO Ciro Linhares de;ARAÚJO Inês Lacerda ;2015
LORENZONI Andre Luis;ARAÚJO Inês Lacerda ;2014
MAIOR JR Paulo Roberto Souto;ARAÚJO Inês Lacerda ;2015
PEREIRA Veronica Figueiredo;ARAÚJO Inês Lacerda ;2022
ROMERO Sheila R;ARAÚJO Inês Lacerda ;2008
VIEIRA Kyara Maria de Almeida;ARAÚJO Inês Lacerda ;2014
ARRUDA Guilherme Lima de Arruda;ARAÚJO João Diogo Trindade Cordeiro ;2020
SOUZA Mariana Barbosa;ARAÚJO João Diogo Trindade Cordeiro ;2022
SOUSA NETO Miguel Rodrigues de;ARAÚJO JR José Carlos;2005
SOUZA Paulo Vitor Guedes de;ARAÚJO JR José Carlos;2022
VERAS Elias Ferreira;ARAÚJO JR José Carlos;2015
AGUIAR JR Fernando Domingos de;ARAÚJO Lucinha ;2016
MAIOR JR Paulo Roberto Souto;ARAÚJO Lucinha ;2019
NOGUEIRA Nadia Cristina;ARAÚJO Maria;2005
OLIVEIRA JR Alcidesio de;ARAÚJO Maria;2012
SANTOS Fernanda Cassia dos;ARAÚJO Maria Luiza Macedo;2012
SOUSA Luana Neres de;ARAÚJO Maria Luiza Macedo;2008
SOUSA Luana Neres de;ARAÚJO Maria Luiza Macedo;2013
ANDRADE Marciano Vieira;ARAÚJO Maria Paula Nascimento ;2015
AZEVEDO Rafaela Costa de;ARAÚJO Maria Paula Nascimento ;2020
BATISTA Ana Cecilia Pereira;ARAÚJO Maria Paula Nascimento ;2021
JATOBA Icaro;ARAÚJO Maria Paula Nascimento ;2021
MAIOR JR Paulo Roberto Souto;ARAÚJO Maria Paula Nascimento ;2015
MONTEIRO Johnnatan David Bia;ARAÚJO Maria Paula Nascimento ;2017
PEREIRA Romulo Medeiros;ARAÚJO Maria Paula Nascimento ;2013
RODRIGUES Rita de Cassia Colaco;ARAÚJO Maria Paula Nascimento ;2012
SANTOS Raian Souza;ARAÚJO Maria Paula Nascimento ;2020
SILVA Natanael de Freitas;ARAÚJO Maria Paula Nascimento ;2022
SOBRAL Thasio Fernandes;ARAÚJO Maria Paula Nascimento ;2019
SILVA Fabio Ronaldo da;ARAÚJO Martinho Tota Filho Rocha;2010
SILVA Fabio Ronaldo da;ARAÚJO Martinho Tota Filho Rocha;2017
ARAUJO Patrícia Simone;ARAUJO Patrícia Simone;2020
ARAUJO Patrícia Simone;ARAUJO Patrícia Simone;2013
SILVA Claudielle Pavão da;ARAUJO Paulo Cesar;2016
SOARES Anderson da Silva;ARAUJO Paulo Cesar;2016
GOMES Aline Ferreira;ARAÚJO Rosa Maria Barbosa de;2017
GOMES JR João;ARAÚJO Rosa Maria Barbosa de;2019
SANTOS Fernanda Cassia dos;ARAÚJO Rosa Maria Barbosa de;2012
BRITO Alexandre Magno Maciel Costa e;ARBEX Daniela ;2016
KUMPERA Julia Aleksandra Martucci;ARBEX Daniela ;2021
BARATA Germana Fernandes;ARBEX JR José ;2006
CARNEIRO Hugo;ARBEX JR José ;2021
GOMES Mauricio Pereira;ARBEX JR José ;2014
SILVA Jefferson Luiz Balbino Lourenço da;ARBEX JR José ;2019
GOMES Elisa Mariana de Medeiros Nobrega;ARENAS Reinaldo;2007
MENDES Bruna Alves Carvalho;ARENAS Reinaldo;2019
NASCIMENTO Dilene Raimundo;ARENAS Reinaldo;1999
RIBAS Jorge Luiz Teixeira;ARENAS Reinaldo;2018
SOUSA NETO Miguel Rodrigues de;ARENAS Reinaldo;2005
VASCONCELOS Osvaldo;ARENAS Reinaldo;2022
AGUIAR Juno Nedel Mendes de;AREND Silvia Maria Fávero ;2020
PEREIRA Ronielyssom Cezar Souza;AREND Silvia Maria Fávero ;2017
AMORIM Graziele Regina de;ARENDT Hannah ;2015
CUEVAS Clara Eliana;ARENDT Hannah ;2015
DAVI Edmar Henrique D ;ARENDT Hannah ;2004
FERREIRA Tiago da Silva;ARENDT Hannah ;2013
LEITE Isadora Damasceno Ribeiro;ARENDT Hannah ;2017
LINS Rivelynno da Costa;ARENDT Hannah ;2017
MALINSKI Andre Americano;ARENDT Hannah ;2019
OCANHA Rafael Freitas;ARENDT Hannah ;2014
PEREIRA Cristiane dos Santos;ARENDT Hannah ;2010
RIBAS Jorge Luiz Teixeira;ARENDT Hannah ;2018
RODRIGUES Rita de Cassia Colaco;ARENDT Hannah ;2012
SANTOS Daniel Barbosa dos;ARENDT Hannah ;2009
SANTOS Leonardo Stabele;ARENDT Hannah ;2022
SANTOS Rafael Franca Goncalves dos;ARENDT Hannah ;2018
SANTOS Raian Souza;ARENDT Hannah ;2020
SILVA Fabio Ronaldo da;ARENDT Hannah ;2017
SILVA Natanael de Freitas;ARENDT Hannah ;2022
SOARES Anderson da Silva;ARENDT Hannah ;2016
SOUSA NETO Miguel Rodrigues de;ARENDT Hannah ;2005
TOLEDO Eliza Teixeira de;ARENDT Hannah ;2015
VASCONCELOS Osvaldo;ARENDT Hannah ;2022
VIEIRA Adriana Fraga;ARENDT Hannah ;2020
CARDOSO Policleiton Rodrigues;ARENZ Karl Heinz ;2022
VASCONCELOS Osvaldo;ARENZ Karl Heinz ;2022
CARDOSO Guilherme da Silva;ARFUCH Leonor ;2022
CORDEIRO Luiz Henrique Bonifacio;ARFUCH Leonor ;2015
FERREIRA Matheus Yago Gomes;ARFUCH Leonor ;2019
MAIOR JR Paulo Roberto Souto;ARFUCH Leonor ;2015
MENDES Bruna Alves Carvalho;ARFUCH Leonor ;2019
PEREIRA Romulo Medeiros;ARFUCH Leonor ;2013
TEDESCO Caio de Souza;ARFUCH Leonor ;2022
VIEIRA Adriana Fraga;ARFUCH Leonor ;2020
ARAÚJO JR José Carlos;ARIAS NETO José Miguel ;2006
COSTA Geovane Batista da;ARIAS NETO José Miguel ;2019
SOBRAL Thasio Fernandes;ARIAS NETO José Miguel ;2019
AMORIM Graziele Regina de;ARIÈS Philippe;2009
ARAUJO Patrícia Simone;ARIÈS Philippe;2020
ARAUJO Patrícia Simone;ARIÈS Philippe;2013
BANDEIRA Marcio Leopoldo Gomes;ARIÈS Philippe;2006
BISPO Daniana de Oliveira;ARIÈS Philippe;2017
BRANDÃO Renata Rodrigues ;ARIÈS Philippe;2015
CARNEIRO Aílton José dos Santos;ARIÈS Philippe;2017
CORDEIRO Luiz Henrique Bonifacio;ARIÈS Philippe;2015
CORREA Ester Candida;ARIÈS Philippe;2018
COSTA Gerferson Damasceno;ARIÈS Philippe;2018
DAVI Edmar Henrique D ;ARIÈS Philippe;2004
DENIPOTI Cláudio ;ARIÈS Philippe;1994
DIAS Claudio Jose Piotrovski;ARIÈS Philippe;2012
DUARTE Daniel Vital Silva;ARIÈS Philippe;2015
FERREIRA Tiago da Silva;ARIÈS Philippe;2013
FREITAS JR Renilson Pereira de;ARIÈS Philippe;2022
GODOY Fabricio Sparvoli;ARIÈS Philippe;2022
GOMES Elisa Mariana de Medeiros Nobrega;ARIÈS Philippe;2007
GOMES JR João;ARIÈS Philippe;2019
GOMES Veronica de Jesus;ARIÈS Philippe;2010
GOMES Veronica de Jesus;ARIÈS Philippe;2019
GUIMARAES Celeste Azenha;ARIÈS Philippe;1994
LEAL Camilla;ARIÈS Philippe;2018
LIMA Rodrigo Ramos;ARIÈS Philippe;2016
LIMA Wallas Jefferson de;ARIÈS Philippe;2014
LIMA Wallas Jefferson de;ARIÈS Philippe;2021
LOPES Fernando Jose;ARIÈS Philippe;2019
LORENZONI Andre Luis;ARIÈS Philippe;2014
MACHADO José Wellington de Oliveira Machado;ARIÈS Philippe;2021
MAIOR JR Paulo Roberto Souto;ARIÈS Philippe;2015
MELO Kelyel Fortes de Resende;ARIÈS Philippe;2020
MUNIN Pietra Mello;ARIÈS Philippe;2018
NAPOLITANO Minisa Nogueira;ARIÈS Philippe;2005
NASCIMENTO Álvaro Pereira;ARIÈS Philippe;2002
NASCIMENTO Dilene Raimundo;ARIÈS Philippe;1999
NASCIMENTO Renan de Souza;ARIÈS Philippe;2022
NOGUEIRA Joanna Ribeiro;ARIÈS Philippe;2016
NOGUEIRA Nadia Cristina;ARIÈS Philippe;2005
OLIVEIRA Estevao Silva de;ARIÈS Philippe;2020
OLIVEIRA JR Alcidesio de;ARIÈS Philippe;2012
PERALTA Antonio Carlos Lopes;ARIÈS Philippe;2000
PETERS Carlos Eduardo Marotta;ARIÈS Philippe;2010
PINTO Matheus Rodrigues;ARIÈS Philippe;2015
REIS Rachel Correia Lima;ARIÈS Philippe;2002
ROCHA Cassio Bruno de Araujo;ARIÈS Philippe;2014
ROCHA Cassio Bruno de Araujo;ARIÈS Philippe;2021
RODRIGUES Rita de Cassia Colaco;ARIÈS Philippe;2012
SANTOS Daniel Barbosa dos;ARIÈS Philippe;2009
SANTOS Daniel Barbosa dos;ARIÈS Philippe;2003
SANTOS Helio Secretario dos;ARIÈS Philippe;2013
SANTOS Rafael Franca Goncalves dos;ARIÈS Philippe;2018
SILVA Clodoaldo Oliveira;ARIÈS Philippe;2021
SILVA Fabio Ronaldo da;ARIÈS Philippe;2017
SILVA Rafaella de Sousa;ARIÈS Philippe;2014
SILVA Sandro Jose da;ARIÈS Philippe;2011
SILVEIRA NETO Adilio Luiz da;ARIÈS Philippe;2014
SOUSA NETO Miguel Rodrigues de;ARIÈS Philippe;2005
SOUSA NETO Miguel Rodrigues de;ARIÈS Philippe;2011
VASCONCELOS Osvaldo;ARIÈS Philippe;2022
VIANNA Eliza da Silva;ARIÈS Philippe;2014
VIEIRA Kyara Maria de Almeida;ARIÈS Philippe;2014
JESUS Iara da Silva;ARIÈS Philippe;2019
BANDEIRA Marcio Leopoldo Gomes;ARILHA Margareth ;2006
SILVA Fabio Ronaldo da;ARILHA Margareth ;2010
SILVA Sandro Jose da;ARILHA Margareth ;2011
SOUZA Paulo Vitor Guedes de;ARILHA Margareth ;2022
SANTOS Daniel Barbosa dos;ARISTÓFANES;2003
SOUSA Luana Neres de;ARISTÓFANES;2008
SOUSA Luana Neres de;ARISTÓFANES;2013
SANTOS Daniel Barbosa dos;ARISTÓFANES ;2009
SOUSA Luana Neres de;ARISTÓFANES ;2013
SOUSA Luana Neres de;ARISTÓFANES ;2008
SANTOS Daniel Barbosa dos;ARISTOPHANE;2003
SANTOS Daniel Barbosa dos;ARISTOPHANE;2009
SOUSA Luana Neres de;ARISTOPHANE;2013
SOUSA Luana Neres de;ARISTOPHANE;2008
CARDOSO Guilherme da Silva;ARISTÓTELES;2022
CORDEIRO Luiz Henrique Bonifacio;ARISTÓTELES;2015
KIBUUKA Brian Gordon Lutalo;ARISTÓTELES;2021
SOUSA Luana Neres de;ARISTÓTELES;2008
SANTOS Daniel Barbosa dos;ARISTOTLE;2003
SANTOS Daniel Barbosa dos;ARISTOTLE;2009
BACH Luanna Fernanda da Cruz;ARMSTRONG Karen ;2020
SOUSA NETO Miguel Rodrigues de;ARMSTRONG Karen ;2011
BARROS Bruna Aparecida;ARMUS Diego;2017
LIMA Rodrigo Ramos;ARMUS Diego;2016
RAMOS Lissandra Queiroga;ARMUS Diego;2016
SANTOS Paulo Henrique Souza dos;ARMUS Diego;2022
SILVEIRA NETO Adilio Luiz da;ARMUS Diego;2014
DUARTE Daniel Vital Silva;ARNEY Lance ;2015
MARTINELLI Leonardo da Silva;ARNEY Lance ;2019
PINTO Matheus Rodrigues;ARNEY Lance ;2015
SILVA Natanael de Freitas;ARNEY Lance ;2017
SOUZA Mariana Barbosa;ARNEY Lance ;2022
SOUZA Paulo Vitor Guedes de;ARNEY Lance ;2022
VERAS Elias Ferreira;ARNEY Lance ;2015
ARAUJO Patrícia Simone;ARÓSTEGUI Julio ;2020
MAIOR JR Paulo Roberto Souto;ARÓSTEGUI Julio ;2019
DEPIERI Caroline Stefany;ARRUDA Ângela;2013
SELEM Maria Celia Orlato;ARRUDA Ângela;2007
ARAÚJO JR José Carlos;ARTAUD Antonin;2006
NUNES Kauan Amora;ARTAUD Antonin;2019
AGUIAR Juno Nedel Mendes de;ARTIÉRES Philippe ;2020
ARAUJO Patrícia Simone;ARTIÉRES Philippe ;2013
CUEVAS Clara Eliana;ARTIÉRES Philippe ;2015
MENDES Bruna Alves Carvalho;ARTIÉRES Philippe ;2019
NOBREGA Isabela Silva;ARTIÉRES Philippe ;2015
PEREIRA Romulo Medeiros;ARTIÉRES Philippe ;2013
ROSSELLI Gabriela Brum;ARTIÉRES Philippe ;2018
SILVA Natanael de Freitas;ARTIÉRES Philippe ;2022
VIANNA Eliza da Silva;ARTIÉRES Philippe ;2014
JESUS Iara da Silva;ASSIS Angelo Adriano Faria de;2019
BISPO Daniana de Oliveira;ASSIS Angelo Adriano Faria de;2017
GOMES Veronica de Jesus;ASSIS Angelo Adriano Faria de;2019
ROCHA Cassio Bruno de Araujo;ASSIS Angelo Adriano Faria de;2021
ASSIS Eduardo Moreira;ASSIS Eduardo Moreira ;2011
MELO Kelyel Fortes de Resende;ASSIS Eduardo Moreira ;2020
SOUZA Mariana Barbosa;ASSIS Eduardo Moreira ;2022
SOUZA Paulo Vitor Guedes de;ASSIS Eduardo Moreira ;2022
VERAS Elias Ferreira;ASSIS Eduardo Moreira ;2015
AZEVEDO Ciro Linhares de;ASSIS Gláucia de Oliveira;2015
GOMES Veronica de Jesus;ASSIS Gláucia de Oliveira;2019
PEREIRA Joao Lenon Siqueira;ASSIS Gláucia de Oliveira;2020
BACH Luanna Fernanda da Cruz;ASSMANN Hugo ;2020
KOREN Jonas Christmann;ASSMANN Hugo ;2019
AMORIM Graziele Regina de;ASSMANN Selvino José ;2015
ROCHA Cassio Bruno de Araujo;ASSMANN Selvino José ;2021
OLIVEIRA JR Alcidesio de;ASSUMPÇÃO JR Francisco B;2012
TAVOLARO José Eduardo Matos;ASSUMPÇÃO JR Francisco B;2020
NASCIMENTO Dilene Raimundo;ASSUMPÇÃO Leilah Landin ;1999
ZAQUIEU Ana Paula Vianna;ASSUMPÇÃO Leilah Landin ;2002
CANABARRO Ronald;ASSUNÇÃO Aroldo ;2015
RODRIGUES Rita de Cassia Colaco;ASSUNÇÃO Aroldo ;2012
GOMES Veronica de Jesus;ASSUNÇÃO Paulo de;2019
LOPES Fernando Jose;ASSUNÇÃO Paulo de;2019
MERCES Filipe Santos das;ASSUNÇÃO Paulo de;2018
RAMOS Jeferson;ATWOOD Margareth ;2019
ROCHA Cassio Bruno de Araujo;ATWOOD Margareth ;2021
ASSUMPCAO Andreia dos S B M de;AUAD Daniela ;2012
PAIVA Ludmila Soares;AUAD Daniela ;2022
ROCHA Cassio Bruno de Araujo;AUAD Sylvia Maria;2014
ROCHA Cassio Bruno de Araujo;AUAD Sylvia Maria;2021
GODOY Fabricio Sparvoli;AUERBACH Erich ;2022
GONÇALVES Maria Angela Gomes;AUERBACH Erich ;2021
SOUSA Luana Neres de;AUERBACH Erich ;2013
MARANHAO Du Flor Meinberg;AUGÉ Marc;2015
NASCIMENTO Dilene Raimundo;AUGÉ Marc;1999
SANTOS Helio Secretario dos;AUGÉ Marc;2013
MEDEIROS Lucas;AUGRAS Monique ;2022
NOGUEIRA Nadia Cristina;AUGRAS Monique ;2005
PERALTA Antonio Carlos Lopes;AUGRAS Monique ;2000
BELMONTE Pilar Rodriguez;AUGUSTO Sérgio ;2009
RODRIGUES Rita de Cassia Colaco;AUGUSTO Sérgio ;2012
REIS Gabbiana Clamer Fonseca Falavigna dos;AUMONT Jacques ;2022
SANTOS Patricia Lessa dos;AUMONT Jacques ;2007
SILVA Gustavo Henrique Ramos;AUMONT Jacques ;2018
SILVA Laercio Theodoro da;AUMONT Jacques ;2012
TROVAO Flavio Vilas-Boas;AUMONT Jacques ;2010
MALINSKI Andre Americano;AUSTIN John Langshaw;2019
NOGUEIRA Joanna Ribeiro;AUSTIN John Langshaw;2016
ROCHA Cassio Bruno de Araujo;AUSTIN John Langshaw;2021
CARDOSO Guilherme da Silva;AVELAR Alexandre;2022
FERREIRA Matheus Yago Gomes;AVELAR Alexandre;2019
GONCALVES Mateus Henrique Siqueira;AVELAR Alexandre;2022
VIEIRA Adriana Fraga;AVELAR Alexandre;2020
MARTINS Carla Cristina Siqueira;AVELAR Suzana ;2020
SILVA Natanael de Freitas;AVELAR Suzana ;2022
AZEVEDO Gleice LInhares de;ÀVILA Arthur Lima de;2022
VIEIRA Adriana Fraga;ÀVILA Arthur Lima de;2020
BARBOSA Camila Nadedja Teixeira;ÁVILA Eliana ;2019
SANTOS Patricia Lessa dos;ÁVILA Eliana ;2007
MARANHAO Du Flor Meinberg;ÁVILA Simone;2015
SOUZA Paulo Vitor Guedes de;ÁVILA Simone;2022
AZEVEDO Rafaela Costa de;ÁVILA Simone ;2020
BRITO Alexandre Magno Maciel Costa e;ÁVILA Simone ;2016
LIMA Michele Pires;ÁVILA Simone ;2021
MAIA Renata Santos;ÁVILA Simone ;2020
SILVA Natanael de Freitas;ÁVILA Simone ;2017
