Id,indegree,outdegree
CERQUEIRA Fábio Vergara,1,0
CERQUEIRA FILHO Gisálio,0,0
CERQUEIRA Marcelo,2,0
CERRI Luís Fernando,2,0
CERTEAU Michel de,15,0
CERVERA Júlia Pérez,0,0
CÉSPEDES Carlos Manuel,1,0
CEZAR Temístocles,2,0
CHALHOUB Sidney,2,0
CHAMBERLAND Line,0,0
CHAMBOULEYRON Rafael,1,0
CHARAUDEAU P,0,0
CHARAUDEAU Patrick,1,0
CHARTIER Roger,26,0
CHAUÍ Marilena,4,0
CHAUNCEY JR George,0,0
CHAUVEAU Agnès,3,0
CHERNOVIZ Pedro Luiz Napoleão,1,0
CHETCUTI Natacha,0,0
CHEVALIER Jean-Claude,1,0
CHEVITARESE André Leonardo,1,0
CHIAVENATO Júlio José,1,0
CHOAY Françoise,1,0
CHRISTOFOLETTI Rogério,0,0
CHRYSÓSTOMO Antônio,0,0
CIDREIRA Renata Pitombo,0,0
CIRILO Ione,1,0
CITELI Maria Teresa,1,0
CLARKE Cheryl,0,0
CLASTRES Pierre,1,0
CLAVERO Bartolomé,0,0
CLIFFORD James,2,0
COACCI Thiago,1,0
CODATO Adriano Nervo,0,0
